Nr;Event;F1-P;F1-R;Purity;GPrecision;GRecall;Redundancy;numCluster;numClasses;
0;;0.7548029480197924;0.715707658995299;0.8828591722324441;1.0;0.876;0.052;5.0;5.0;
1;;0.7967405707719817;0.7541708613182493;0.8980672950029556;1.0;0.904;0.0;5.0;5.0;
2;;0.792563415834992;0.7682933133273191;0.8929819626099494;1.0;0.922;0.0;5.0;5.0;
3;;0.7773653655972211;0.754748915775462;0.8972971980403944;1.0;0.897;0.0;5.0;5.0;
4;;0.9916454294446823;0.8338618279080218;0.9835441173137507;1.0;0.916;0.0;5.0;5.0;
5;;0.9830661426302438;0.8257834653152294;0.9809525764806202;1.0;0.929;0.0;5.0;5.0;
6;;0.8154331524357321;0.7596362488899263;0.8970985435057293;1.0;0.867;0.0;5.0;5.0;
7;;0.843526716441219;0.7545613492467386;0.932691629246369;1.0;0.817;0.0;5.0;5.0;
8;;0.9807759252166985;0.8297849263427136;0.9792464687107222;1.0;0.913;0.0;5.0;5.0;
9;;0.9699701336951214;0.8156613859224051;0.98515999646886;1.0;0.896;0.0;5.0;5.0;
10;;0.9821632626964607;0.8366099751495449;0.9665511365942951;1.0;0.911;0.0;5.0;5.0;
11;;0.9908820633966297;0.8307101772086342;0.9819448778610917;1.0;0.912;0.0;5.0;5.0;
12;;0.9594223376557329;0.8069260221205181;0.9857983930385397;1.0;0.871;0.001;5.0;5.0;
13;;0.7803352281831801;0.7482412240119531;0.8332395032520763;1.0;0.892;0.0;5.0;5.0;
14;;0.8298742126222212;0.7309791531920395;0.9422618889621137;1.0;0.814;0.0;5.0;5.0;
15;;0.7546033262124249;0.7333137171173193;0.884100044572877;1.0;0.9;0.001;5.0;5.0;
16;;0.6816772026191182;0.660620969820139;0.7908631005515554;1.0;0.874;0.133;5.0;5.0;
17;;0.802734013783352;0.7386079328344413;0.8569114477452073;1.0;0.859;0.0;5.0;5.0;
18;;0.7082290427939026;0.6174897195696315;0.8328058344456734;1.0;0.798;0.16;5.0;5.0;
19;;0.5971347635569281;0.5993435911007007;0.8873444710778898;1.0;0.795;0.0;5.0;5.0;
20;;0.6627152855901141;0.6158222417887581;0.8861097272387596;1.0;0.77;0.0;5.0;5.0;
21;;0.6252809289561269;0.6115468124275524;0.8776686752300226;1.0;0.817;0.0;5.0;5.0;
22;;0.6003336744085124;0.5841239429127375;0.7089222347467856;1.0;0.895;0.311;5.0;5.0;
23;;0.5424118789281416;0.5167578253162471;0.7233567234757893;1.0;0.842;0.178;5.0;5.0;
24;;0.506760985692018;0.5688044972169696;0.7648928401795205;1.0;0.879;0.07;5.0;5.0;
25;;0.6017529571225039;0.6237236333722328;0.8602171654840557;1.0;0.895;0.002;5.0;5.0;
26;;0.6133342259016865;0.5766272050642852;0.7992994944727603;1.0;0.888;0.103;5.0;5.0;
27;;0.6852318427212172;0.6484951662611342;0.7800337667569521;1.0;0.948;0.243;5.0;5.0;
28;;0.5785950183346474;0.6246730103277959;0.8141881410908567;1.0;0.866;0.0;5.0;5.0;
29;;0.6766069878045763;0.6368858509097313;0.7975380019468977;1.0;0.931;0.179;5.0;5.0;
30;;0.6894942459141135;0.6630329144256345;0.8079826106008581;1.0;0.929;0.193;5.0;5.0;
31;;0.7061045393239215;0.6669885572934119;0.7789864662508637;1.0;0.942;0.224;5.0;5.0;
32;;0.6801629628870567;0.6407574529953768;0.8144280155369621;1.0;0.881;0.174;5.0;5.0;
33;;0.6437078262888594;0.6141654675942837;0.8234424518478081;1.0;0.902;0.046;5.0;5.0;
34;;0.5996534424423474;0.5979081261726477;0.7775694942356794;1.0;0.814;0.0;5.0;5.0;
35;;0.5978731663337575;0.6271012903696959;0.8727945792252871;1.0;0.864;0.0;5.0;5.0;
36;;0.5919559421122127;0.6141001145468582;0.7539819025679433;1.0;0.898;0.013;5.0;5.0;
37;;0.6670251943821203;0.5730871897628297;0.6842888057940201;1.0;0.92;0.411;5.0;5.0;
38;;0.596500311202848;0.615734061493378;0.6847946354780416;1.0;0.944;0.026;5.0;5.0;
39;;0.5790561370193801;0.6073770077671307;0.850730392709861;1.0;0.9;0.0;5.0;5.0;
40;;0.6085972401735891;0.6237788141715517;0.7759927596631568;1.0;0.924;0.012;5.0;5.0;
41;;0.556740926401669;0.6290245277456481;0.8007520621415228;1.0;0.919;0.011;5.0;5.0;
42;;0.676527230498739;0.6824151395010204;0.7175640061902938;1.0;0.932;0.083;5.0;5.0;
43;;0.691746700187353;0.6630535216337906;0.7911478401584733;1.0;0.876;0.168;5.0;5.0;
44;;0.5890115637290405;0.6358237751323642;0.8052025653176373;1.0;0.848;0.0;5.0;5.0;
45;;0.7852289150217894;0.7473318514008002;0.8189380427304753;1.0;0.911;0.032;5.0;5.0;
46;;0.802074025551175;0.7621901150877396;0.8652372442438592;1.0;0.885;0.003;5.0;5.0;
47;;0.7468624965350619;0.7046571759872862;0.850436965584217;1.0;0.919;0.113;5.0;5.0;
48;;0.8245273857341751;0.7417379837571015;0.9200340513863138;1.0;0.835;0.002;5.0;5.0;
49;;0.6291013138606745;0.6471348193319694;0.8217357691467371;1.0;0.859;0.0;5.0;5.0;
50;;0.5838219772436644;0.636570894840878;0.7251472867527935;1.0;0.894;0.006;5.0;5.0;
51;;0.6495503967477224;0.6490947473639052;0.8371751733799101;1.0;0.858;0.0;5.0;5.0;
52;;0.5874262818123088;0.6408101740891295;0.7357004633505081;1.0;0.859;0.011;5.0;5.0;
53;;0.5831606866397863;0.6388457211591624;0.8085081704035002;1.0;0.856;0.0;5.0;5.0;
54;;0.5884692465199084;0.6281973247715349;0.8057416179065664;1.0;0.82;0.0;5.0;5.0;
55;;0.5861412540129609;0.6426145298747582;0.8197647058823531;1.0;0.854;0.0;5.0;5.0;
56;;0.5888088759428518;0.646411529449707;0.8045762333506957;1.0;0.889;0.002;5.0;5.0;
57;;0.5915193663810457;0.6419202129989895;0.815013339154986;1.0;0.85;0.0;5.0;5.0;
58;;0.6750498250518805;0.6717586925937388;0.8053399849533772;1.0;0.907;0.09;5.0;5.0;
59;;0.592961905725135;0.6634067006756094;0.8028536733454766;1.0;0.868;0.0;5.0;5.0;
60;;0.5896480410702554;0.638076837946227;0.8151785714285715;1.0;0.851;0.0;5.0;5.0;
61;;0.6179381011694556;0.6161920143878907;0.7393663450293481;1.0;0.861;0.191;5.0;5.0;
62;;0.5858600999733433;0.6431811549967882;0.8191152491486215;1.0;0.834;0.0;5.0;5.0;
63;;0.6064247278450149;0.6024725604869307;0.7897892433985514;1.0;0.803;0.019;5.0;5.0;
64;;0.6323339557972517;0.5802825496900165;0.8227344117458919;1.0;0.827;0.077;5.0;5.0;
65;;0.6871051466418191;0.591684844423738;0.802507312322259;1.0;0.82;0.272;5.0;5.0;
66;;0.7878590338716387;0.758814567061317;0.8770969130158418;1.0;0.901;0.0;5.0;5.0;
67;;0.7233463989594054;0.6775013094776655;0.8029553742753922;1.0;0.914;0.138;5.0;5.0;
68;;0.6162073661380256;0.6131655185756036;0.7798315018315018;1.0;0.873;0.031;5.0;5.0;
69;;0.8087672481110756;0.7773524284292096;0.8987779433681073;1.0;0.905;0.0;5.0;5.0;
70;;0.7562763452291064;0.7168969543575886;0.8694006356751455;1.0;0.903;0.024;5.0;5.0;
71;;0.7398540076483217;0.7125664791665081;0.7868306497455442;1.0;0.911;0.05;5.0;5.0;
72;;0.8008769406075199;0.7760530674491762;0.8954901960784314;1.0;0.915;0.0;5.0;5.0;
73;;0.5938661515343927;0.6026598490944854;0.7573968095287442;1.0;0.885;0.04;5.0;5.0;
74;;0.6497478155300785;0.6130424050957379;0.7691232983817036;1.0;0.871;0.249;5.0;5.0;
75;;0.6376487843988328;0.6088089537261899;0.7702460964400698;1.0;0.893;0.194;5.0;5.0;
76;;0.7132393749754289;0.7006145210934908;0.7613655809915054;1.0;0.928;0.083;5.0;5.0;
77;;0.7410689421331462;0.6996628430396395;0.8037475257219665;1.0;0.889;0.057;5.0;5.0;
78;;0.5978430778263031;0.5337156750410031;0.7385241722575506;1.0;0.837;0.18;5.0;5.0;
79;;0.7609924585197887;0.6447986799721643;0.7535080417154496;1.0;0.925;0.288;5.0;5.0;
80;;0.7330732574749341;0.7030547642333008;0.8411137806232263;1.0;0.909;0.094;5.0;5.0;
81;;0.5823295607815394;0.6091458551339685;0.7566814222085282;1.0;0.884;0.002;5.0;5.0;
